,Name of Member,Party,Constituency,State,Constituency Type
280,"Nallakonda Gari, Shri Reddeppa",Yuvajana Sramika Rythu Congress Party,Chittoor,Andhra Pradesh,SC
281,"Namgyal, Shri Jamyang Tsering",Bharatiya Janata Party,Ladakh,Ladakh,
282,"Natarajan, Shri P.R.",Communist Party of India (Marxist),Coimbatore,Tamil Nadu,
283,"Nath, Shri Balak",Bharatiya Janata Party,Alwar,Rajasthan,
284,"Nath, Shri Nakul K.",Indian National Congress,Chhindwara,Madhya Pradesh,
285,"Nete, Shri Ashok Mahadeorao",Bharatiya Janata Party,Gadchiroli-Chimur,Maharashtra,ST
286,"Nishad, Shri Ajay",Bharatiya Janata Party,Muzaffarpur,Bihar,
287,"Nishad, Shri Praveen Kumar",Bharatiya Janata Party,Sant Kabir Nagar,Uttar Pradesh,
288,"Nishank, Dr. Ramesh Pokhriyal",Bharatiya Janata Party,Hardwar,Uttarakhand,
289,"Oja, Smt. Queen",Bharatiya Janata Party,Gauhati,Assam,
290,"Oram, Shri Jual",Bharatiya Janata Party,Sundargarh,Odisha,ST
291,"Owaisi, Shri Asaduddin",All India Majlis-E-Ittehadul Muslimeen,Hyderabad,Telangana,
292,"Paarivendhar, Dr. T. R.",Dravida Munnetra Kazhagam,Perambalur,Tamil Nadu,
293,"Pachauri, Shri Satyadev",Bharatiya Janata Party,Kanpur,Uttar Pradesh,
294,"Pal , Shri Jagdambika",Bharatiya Janata Party,Domariyaganj,Uttar Pradesh,
295,"Pala, Shri Vincent H.",Indian National Congress,Shillong,Meghalaya,ST
296,"Palanimanickam, Shri S.S.",Dravida Munnetra Kazhagam,Thanjavur,Tamil Nadu,
297,"Panda, Shri Basanta Kumar",Bharatiya Janata Party,Kalahandi,Odisha,
298,"Pandey, Dr. Mahendra Nath",Bharatiya Janata Party,Chandauli,Uttar Pradesh,
299,"Pandey, Shri Ritesh",Bahujan Samaj Party,Ambedkar Nagar,Uttar Pradesh,
300,"Pandey, Shri Santosh",Bharatiya Janata Party,Rajnandgaon,Chhattisgarh,
301,"Paras, Shri Pashupati Kumar",Lok Jan Shakti Party,Hajipur,Bihar,SC
302,"Parkash, Shri Som",Bharatiya Janata Party,Hoshiarpur,Punjab,SC
303,"Parthiban, Shri S.R.",Dravida Munnetra Kazhagam,Salem,Tamil Nadu,
304,"Pasunoori, Shri Dayakar",Telangana Rashtra Samithi,Warangal,Telangana,SC
305,"Paswan, Shri Chhedi",Bharatiya Janata Party,Sasaram,Bihar,SC
306,"Paswan, Shri Chirag",Lok Jan Shakti Party,Jamui,Bihar,SC
307,"Paswan, Shri Kamlesh",Bharatiya Janata Party,Bansgaon,Uttar Pradesh,SC
308,"Patel, Smt. Anupriya",Apna Dal (Soneylal),Mirzapur,Uttar Pradesh,
309,"Patel, Shri Devji Mansingram",Bharatiya Janata Party,Jalore,Rajasthan,
310,"Patel, Shri Gajendra Singh",Bharatiya Janata Party,Khargone,Madhya Pradesh,ST
311,"Patel, Shri Hasmukhbhai Somabhai",Bharatiya Janata Party,Ahmedabad East,Gujarat,
312,"Patel, Dr. K. C.",Bharatiya Janata Party,Valsad,Gujarat,ST
313,"Patel, Smt. Keshari Devi",Bharatiya Janata Party,Phulpur,Uttar Pradesh,
314,"Patel, Shri Lalubhai Babubhai",Bharatiya Janata Party,Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,ST
315,"Patel, Shri Mitesh Rameshbhai",Bharatiya Janata Party,Anand,Gujarat,
316,"Patel, Shri Parbatbhai Savabhai",Bharatiya Janata Party,Banaskantha,Gujarat,
317,"Patel, Shri Prahlad Singh",Bharatiya Janata Party,Damoh,Madhya Pradesh,
318,"Patel, Shri R.K. Singh",Bharatiya Janata Party,Banda,Uttar Pradesh,
319,"Patel, Smt. Sharda Anilkumar",Bharatiya Janata Party,Mahesana,Gujarat,
320,"Pathak, Smt. Riti",Bharatiya Janata Party,Sidhi,Madhya Pradesh,
321,"Pathak, Shri Subrat",Bharatiya Janata Party,Kannauj,Uttar Pradesh,
322,"Patil, Shri Bheemrao Baswanthrao",Telangana Rashtra Samithi,Zahirabad,Telangana,
323,"Patil, Shri C. R.",Bharatiya Janata Party,Navsari,Gujarat,
324,"Patil, Shri Gyaneshwar",Bharatiya Janata Party,Khandwa,Madhya Pradesh,
325,"Patil, Shri Hemant Shriram",Shiv Sena,Hingoli,Maharashtra,
326,"Patil, Shri Kapil Moreshwar",Bharatiya Janata Party,Bhiwandi,Maharashtra,
327,"Patil, Shri Sanjay(Kaka) Ramchandra",Bharatiya Janata Party,Sangli,Maharashtra,
328,"Patil, Shri Shriniwas Dadasaheb",Nationalist Congress Party,Satara,Maharashtra,
329,"Patil, Shri Unmesh Bhaiyyasaheb",Bharatiya Janata Party,Jalgaon,Maharashtra,
330,"Pawar, Dr. Bharati Pravin",Bharatiya Janata Party,Dindori,Maharashtra,ST
331,"Pfoze, Dr. Lorho S.",Naga Peoples Front,Outer Manipur,Manipur,ST
332,"Poddar, Smt. Aparupa",All India Trinamool Congress,Arambagh,West Bengal,SC
333,"Pon, Dr. Gautham Sigamani",Dravida Munnetra Kazhagam,Kallakurichi,Tamil Nadu,
334,"Pothuganti, Shri Ramulu",Telangana Rashtra Samithi,Nagarkurnool,Telangana,SC
335,"Prakash, Adv. Adoor",Indian National Congress,Attingal,Kerala,
336,"Pramanik, Shri Nisith",Bharatiya Janata Party,Coochbehar,West Bengal,SC
337,"Prasad, Shri Chandeshwar",Janata Dal (United),Jahanabad,Bihar,
338,"Prasad, Shri Ravi Shankar",Bharatiya Janata Party,Patna Sahib,Bihar,
339,"Prasad, Shri V. Sreenivasa",Bharatiya Janata Party,Chamrajanagar,Karnataka,SC
340,"Pratap Chandra Sarangi, Shri",Bharatiya Janata Party,Balasore,Odisha,
341,"Prathapan, Shri T.N.",Indian National Congress,Thrissur,Kerala,
342,"Premachandran, Shri N.K.",Revolutionary Socialist Party,Kollam,Kerala,
343,"Prince Raj, Shri",Lok Jan Shakti Party,Samastipur,Bihar,SC
344,"Pujari, Shri Suresh Kumar",Bharatiya Janata Party,Bargarh,Odisha,
345,"Raghavan, Shri M. K.",Indian National Congress,Kozhikode,Kerala,
346,"Raghavendra, Shri B. Y.",Bharatiya Janata Party,Shimoga,Karnataka,
347,"Rahaman, Shri Khalilur",All India Trinamool Congress,Jangipur,West Bengal,
348,"Rai, Shri Nityanand",Bharatiya Janata Party,Ujiarpur,Bihar,
349,"Rajenimbalkar, Shri Omprakash Bhupalsingh alias Pavan",Shiv Sena,Osmanabad,Maharashtra,
350,"Rajkumar, Dr. Ranjan Singh",Bharatiya Janata Party,Inner Manipur,Manipur,
351,"Rajoria, Dr. Manoj",Bharatiya Janata Party,Karauli-Dholpur,Rajasthan,SC
352,"Rajput, Shri Mukesh",Bharatiya Janata Party,Farrukhabad,Uttar Pradesh,
353,"Ram, Shri Vishnu Dayal",Bharatiya Janata Party,Palamu,Jharkhand,SC
354,"Ram Mohan Naidu, Shri Kinjarapu",Telugu Desam Party,Srikakulam,Andhra Pradesh,
355,"Ramalingam, Shri Sellaperumal",Dravida Munnetra Kazhagam,Mayiladuthurai,Tamil Nadu,
356,"Ramesh, Shri T.R.V.S.",Dravida Munnetra Kazhagam,Cuddalore,Tamil Nadu,
357,"Rana, Smt Navneet Ravi",Independent,Amravati,Maharashtra,SC
358,"Rangaiah, Shri Talari",Yuvajana Sramika Rythu Congress Party,Anantapur,Andhra Pradesh,
359,"Rao, Shri Nama Nageswara",Telangana Rashtra Samithi,Khammam,Telangana,
360,"Rao, Shri Soyam Bapu",Bharatiya Janata Party,Adilabad,Telangana,ST
361,Rao Inderjit Singh,Bharatiya Janata Party,Gurgaon,Haryana,
