,Name of Member,Party,Constituency,State,Constituency Type
496,"Tamta, Shri Ajay",Bharatiya Janata Party,Almora,Uttarakhand,SC
497,"Tatkare, Shri Sunil Dattatray",Nationalist Congress Party,Raigad,Maharashtra,
498,"Teli, Shri Rameswar",Bharatiya Janata Party,Dibrugarh,Assam,
499,"Tewari, Shri Manish",Indian National Congress,Anandpur Sahib,Punjab,
500,"Thakur, Shri Anurag Singh",Bharatiya Janata Party,Hamirpur,Himachal Pradesh,
501,"Thakur, Sadhvi Pragya Singh",Bharatiya Janata Party,Bhopal,Madhya Pradesh,
502,"Thakur, Shri Shantanu",Bharatiya Janata Party,Bangaon,West Bengal,SC
503,"Tharoor, Dr. Shashi",Indian National Congress,Thiruvananthapuram,Kerala,
504,"Thirumaavalavan, Dr. Tholkappiyan",Viduthalai Chiruthaigal Katchi,Chidambaram,Tamil Nadu,SC
505,"Thirunavukkarasar, Shri Su.",Indian National Congress,Tiruchirappalli,Tamil Nadu,
506,"Tiwari, Shri Manoj Kumar",Bharatiya Janata Party,North East Delhi,NCT of Delhi,
507,"Tomar, Shri Narendra Singh",Bharatiya Janata Party,Morena,Madhya Pradesh,
508,"Tripathi, Dr. Ramapati Ram",Bharatiya Janata Party,Deoria,Uttar Pradesh,
509,"Tripura, Shri Rebati",Bharatiya Janata Party,Tripura East,Tripura,ST
510,"Tudu, Shri Bishweswar",Bharatiya Janata Party,Mayurbhanj,Odisha,ST
511,"Tumane, Shri Krupal Balaji",Shiv Sena,Ramtek,Maharashtra,SC
512,"Udasi, Shri Shivkumar Chanabasappa",Bharatiya Janata Party,Haveri,Karnataka,
513,"Uikey, Shri Durga Das",Bharatiya Janata Party,Betul,Madhya Pradesh,ST
514,"Ulaka, Shri Saptagiri Sankar",Indian National Congress,Koraput,Odisha,ST
515,"Unnithan, Shri Rajmohan",Indian National Congress,Kasaragod,Kerala,
516,"V.K. Sreekandan, Shri",Indian National Congress,Palakkad,Kerala,
517,"Vallabbhaneni, Shri Balashowry",Yuvajana Sramika Rythu Congress Party,Machilipatnam,Andhra Pradesh,
518,"Vanga, Smt. Geetha Viswanath",Yuvajana Sramika Rythu Congress Party,Kakinada,Andhra Pradesh,
519,"Vasava, Shri Mansukhbhai Dhanjibhai",Bharatiya Janata Party,Bharuch,Gujarat,
520,"Vasava, Shri Prabhubhai Nagarbhai",Bharatiya Janata Party,Bardoli,Gujarat,ST
521,"Ve., Shri Vaithilingam",Indian National Congress,Puducherry,Puducherry,
522,"Velusamy, Shri P.",Dravida Munnetra Kazhagam,Dindigul,Tamil Nadu,
523,"Venkatesan, Shri S.",Communist Party of India (Marxist),Madurai,Tamil Nadu,
524,"Verma, Shri Bhanu Pratap Singh",Bharatiya Janata Party,Jalaun,Uttar Pradesh,SC
525,"Verma, Shri Rajesh",Bharatiya Janata Party,Sitapur,Uttar Pradesh,
526,"Verma, Smt. Rekha Arun",Bharatiya Janata Party,Dhaurahra,Uttar Pradesh,
527,"Verma, Shri Ram Shiromani",Bahujan Samaj Party,Shrawasti,Uttar Pradesh,
528,"Vichare, Shri Rajan Baburao",Shiv Sena,Thane,Maharashtra,
529,"Vijayakumar (Alias) Vijay Vasanth , Shri",Indian National Congress,Kanniyakumari,Tamil Nadu,
530,"Vikhepatil, Dr. Sujay Radhakrishna",Bharatiya Janata Party,Ahmednagar,Maharashtra,
531,"Vishnu Prasad, Dr. M.K.",Indian National Congress,Arani,Tamil Nadu,
532,"Y, Shri Devendrappa",Bharatiya Janata Party,Bellary,Karnataka,ST
533,"Yadav, Shri Akhilesh",Samajwadi Party,Azamgarh,Uttar Pradesh,
534,"Yadav, Shri Ashok Kumar",Bharatiya Janata Party,Madhubani,Bihar,
535,"Yadav, Shri Dinesh Chandra",Janata Dal (United),Madhepura,Bihar,
536,"Yadav, Shri Giridhari",Janata Dal (United),Banka,Bihar,
537,"Yadav, Dr. Krishnapal Singh",Bharatiya Janata Party,Guna,Madhya Pradesh,
538,"Yadav, Shri Mulayam Singh",Samajwadi Party,Mainpuri,Uttar Pradesh,
539,"Yadav, Shri Ram Kripal",Bharatiya Janata Party,Pataliputra,Bihar,
540,"Yadav, Shri Shyam Singh",Bahujan Samaj Party,Jaunpur,Uttar Pradesh,
541,"Yepthomi, Shri Tokheho",Nationalist Democratic Progressive Party,Nagaland,Nagaland,
